button_pressed,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
,,,"[u'A,C::B', u'A:C:B', u'A:C,B:', u':C,B,A:']",,421786,"[3039, 3884, 4859]",blockworld,5
,,,"[u':A,C:D,B', u'C:A:D,B', u'C,B:A:D', u'C,B,A::D', u'C,B,A:D:', u'C,B:D:A', u'C:D:A,B', u':D,C:A,B', u':D,C,B:A', u':D,C,B,A:']",,445091,"[7822, 11026, 13536, 14461, 17367, 19284, 20185, 21016, 22360]",blockworld,5
,,,"[u'D::E,B,A,C', u'D,C::E,B,A', u'D,C,A::E,B', u'D,C,A,B::E', u'D,C,A,B:E:', u'D,C,A:E:B', u'D,C:E:B,A', u'D:E:B,A,C', u':E,D:B,A,C', u':E,D,C:B,A', u'A:E,D,C:B', u'A:E,D,C,B:', u':E,D,C,B,A:']",,468349,"[5125, 8868, 10401, 11724, 13390, 14915, 16603, 17931, 18787, 19747, 20691, 22299]",blockworld,5
,,,"[u'E,B:A,D:F,C', u'E,B,C:A,D:F', u'E,B,C,D:A:F', u'E,B,C,D,A::F', u'E,B,C,D,A:F:', u'E,B,C,D:F:A', u'E,B,C:F:A,D', u'E,B:F:A,D,C', u'E:F:A,D,C,B', u':F,E:A,D,C,B', u'B:F,E:A,D,C', u'B,C:F,E:A,D', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,487976,"[2630, 3563, 5492, 6684, 8157, 9123, 9859, 10802, 11961, 13883, 14918, 15786, 16654, 17647, 18728]",blockworld,5
,,,"[u'E:C,A,D:F,B', u'E,B:C,A,D:F', u'E,B,D:C,A:F', u'E,B,D,A:C:F', u'E,B,D,A,C::F', u'E,B,D,A,C:F:', u'E,B,D,A:F:C', u'E,B,D:F:C,A', u'E,B:F:C,A,D', u'E:F:C,A,D,B', u':F,E:C,A,D,B', u'B:F,E:C,A,D', u'B:F,E,D:C,A', u'B,A:F,E,D:C', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,673682,"[168690, 169379, 170081, 172007, 172768, 173952, 174728, 175328, 176071, 176991, 178119, 179599, 180799, 181719, 183048, 183983, 184913]",blockworld,5
,,,"[u'F,C,D,A:B:E', u'F,C,D,A::E,B', u'F,C,D::E,B,A', u'F,C::E,B,A,D', u'F::E,B,A,D,C', u':F:E,B,A,D,C', u'C:F:E,B,A,D', u'C,D:F:E,B,A', u'C,D,A:F:E,B', u'C,D,A,B:F:E', u'C,D,A,B:F,E:', u'C,D,A:F,E:B', u'C,D:F,E:B,A', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,693113,"[2424, 3176, 3738, 4551, 5246, 6894, 9006, 9865, 10614, 11528, 13166, 13911, 14581, 15452, 16175, 17526, 18646]",blockworld,5
,,,"[u':A,C,E,F:D,B', u':A,C,E:D,B,F', u'E:A,C:D,B,F', u'E,C:A:D,B,F', u'E,C,A::D,B,F', u'E,C,A:F:D,B', u'E,C:F:D,B,A', u'E:F:D,B,A,C', u':F,E:D,B,A,C', u'C:F,E:D,B,A', u'C,A:F,E:D,B', u'C,A,B:F,E:D', u'C,A,B:F,E,D:', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,718652,"[5679, 6318, 7205, 7868, 9223, 10069, 10721, 11509, 12507, 14371, 15036, 16652, 17474, 18417, 19229, 21359, 23773, 24789]",blockworld,5
,,,"[u'F:B,D,A,C,E:', u'F:B,D,A,C:E', u'F:B,D,A:E,C', u'F:B,D:E,C,A', u'F:B:E,C,A,D', u'F::E,C,A,D,B', u':F:E,C,A,D,B', u'B:F:E,C,A,D', u'B:F,D:E,C,A', u'B,A:F,D:E,C', u'B,A,C:F,D:E', u'B,A,C,D:F:E', u'B,A,C,D:F,E:', u'B,A,C:F,E,D:', u'B,A:F,E,D,C:', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,740237,"[4418, 5275, 5837, 6538, 7473, 8434, 9946, 11210, 12329, 13699, 15809, 16589, 17304, 17898, 18880, 19801, 20833]",blockworld,5
,,,"[u'F:D,A,B,C:E', u'F:D,A,B:E,C', u'F:D,A:E,C,B', u'F:D:E,C,B,A', u'F::E,C,B,A,D', u':F:E,C,B,A,D', u'D:F:E,C,B,A', u'D,A:F:E,C,B', u'D:F,A:E,C,B', u'D:F,A,B:E,C', u'D,C:F,A,B:E', u'D,C,B:F,A:E', u'D,C,B,A:F:E', u'D,C,B,A:F,E:', u'D,C,B:F,E:A', u'D,C:F,E:A,B', u'D:F,E:A,B,C', u':F,E,D:A,B,C', u':F,E,D,C:A,B', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,766735,"[2662, 3273, 4130, 5823, 6958, 8405, 9942, 12463, 13023, 13733, 14551, 15182, 15986, 16731, 17457, 18250, 19210, 23249, 24482, 25496]",blockworld,5
,,,"[u'F,C,E:A:D,B', u'F,C,E::D,B,A', u'F,C::D,B,A,E', u'F::D,B,A,E,C', u':F:D,B,A,E,C', u'C:F:D,B,A,E', u'C,E:F:D,B,A', u'C,E,A:F:D,B', u'C,E,A,B:F:D', u'C,E,A:F:D,B', u'C,E:F:D,B,A', u'C:F,E:D,B,A', u'C,A:F,E:D,B', u'C,A,B:F,E:D', u'C,A,B:F,E,D:', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,792930,"[2396, 3974, 4644, 5476, 7700, 8653, 10022, 10780, 13915, 15534, 16300, 17467, 18347, 19306, 20250, 21115, 22090, 23139, 24174, 25455]",blockworld,5
,,,"[u'F,E,C:B,A:D', u'F,E,C:B:D,A', u'F,E:B:D,A,C', u'F:B:D,A,C,E', u'F::D,A,C,E,B', u':F:D,A,C,E,B', u'B:F:D,A,C,E', u'B:F,E:D,A,C', u'B,C:F,E:D,A', u'B,C,A:F,E:D', u'B,C,A:F,E,D:', u'B,C:F,E,D:A', u'B:F,E,D,C:A', u':F,E,D,C,B:A', u':F,E,D,C,B,A:']",,808227,"[2300, 3033, 4193, 5153, 6028, 6913, 7969, 8848, 9729, 10771, 11776, 12712, 13672, 14559]",blockworld,5
,,,"[u'E:D,B,A,C:F', u'E,C:D,B,A:F', u'E,C,A:D,B:F', u'E,C,A,B:D:F', u'E,C,A,B,D::F', u'E,C,A,B,D:F:', u'E,C,A,B:F:D', u'E,C,A:F:D,B', u'E,C:F:D,B,A', u'E:F:D,B,A,C', u':F,E:D,B,A,C', u'C:F,E:D,B,A', u'C,A:F,E:D,B', u'C,A,B:F,E:D', u'C,A,B:F,E,D:', u'C,A:F,E,D:B', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,861345,"[30333, 31014, 32260, 34102, 34797, 35948, 37094, 37691, 38375, 39192, 40171, 41491, 42187, 43019, 46244, 47109, 49677, 50546, 51517, 52458]",blockworld,5
,,,"[u'E:C:F,B,A,D', u':C:F,B,A,D,E', u'C::F,B,A,D,E', u'C,E::F,B,A,D', u'C:E:F,B,A,D', u'C,D:E:F,B,A', u'C,D,A:E:F,B', u'C,D,A,B:E:F', u'C,D,A,B,E::F', u'C,D,A,B,E:F:', u'C,D,A,B:F,E:', u'C,D,A:F,E:B', u'C,D:F,E:B,A', u'C:F,E,D:B,A', u':F,E,D,C:B,A', u'A:F,E,D,C:B', u'A:F,E,D,C,B:', u':F,E,D,C,B,A:']",,881593,"[2301, 3096, 4830, 6301, 7229, 8044, 10006, 11005, 12180, 13424, 14520, 15361, 15992, 16807, 17649, 18471, 19483]",blockworld,5
