button_pressed,high_stakes,initial_points,multiplier,no_bonus,points,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
0,,,,,,,15000.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",15005,,html-button-response,13
0,,,,,,,39586.0,,"<h1 id=""points"">Points</h1>

<p>You can earn a bonus on some rounds. You will begin these rounds with some number of points.
It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>Some rounds will have no bonus, so the screen will say <b>No Bonus</b>.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",54594,,html-button-response,13
0,,,,,,,2122.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 82 points in this HIT. Your bonus for this HIT is <b>$0.82</b>!</p>",1158178,,html-button-response,13
0,,,,,,,12147.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",12152,,html-button-response,4
0,,,,,,,2862.0,,"<h1 id=""points"">Points</h1>

<p>You can earn a bonus on some rounds. You will begin these rounds with some number of points.
It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>Some rounds will have no bonus, so the screen will say <b>No Bonus</b>.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",15021,,html-button-response,4
0,,,,,,,1339.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 51 points in this HIT. Your bonus for this HIT is <b>$0.51</b>!</p>",720407,,html-button-response,4
0,,,,,,,113554.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",113558,,html-button-response,27
0,,,,,,,21384.0,,"<h1 id=""points"">Points</h1>

<p>You can earn a bonus on some rounds. You will begin these rounds with some number of points.
It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>Some rounds will have no bonus, so the screen will say <b>No Bonus</b>.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",134945,,html-button-response,27
0,,,,,,,4038.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 89 points in this HIT. Your bonus for this HIT is <b>$0.89</b>!</p>",1227029,,html-button-response,27
0,,,,,,,3174.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",3183,,html-button-response,14
0,,,,,,,1284.0,,"<h1 id=""points"">Points</h1>

<p>You can earn a bonus on some rounds. You will begin these rounds with some number of points.
It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>Some rounds will have no bonus, so the screen will say <b>No Bonus</b>.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",4469,,html-button-response,14
0,,,,,,,1468.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 52 points in this HIT. Your bonus for this HIT is <b>$0.52</b>!</p>",955296,,html-button-response,14
0,,,,,,,2108.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",2111,,html-button-response,20
0,,,,,,,1416.0,,"<h1 id=""points"">Points</h1>

<p>You can earn a bonus on some rounds. You will begin these rounds with some number of points.
It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>Some rounds will have no bonus, so the screen will say <b>No Bonus</b>.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",3528,,html-button-response,20
0,,,,,,,738.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 63 points in this HIT. Your bonus for this HIT is <b>$0.63</b>!</p>",1483848,,html-button-response,20
0,,,,,,,402881.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",402883,,html-button-response,19
0,,,,,,,28107.0,,"<h1 id=""points"">Points</h1>

<p>You can earn a bonus on some rounds. You will begin these rounds with some number of points.
It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>Some rounds will have no bonus, so the screen will say <b>No Bonus</b>.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",430994,,html-button-response,19
0,,,,,,,1456.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 103 points in this HIT. Your bonus for this HIT is <b>$1.03</b>!</p>",2473929,,html-button-response,19
0,,,,,,,7101.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",7107,,html-button-response,28
0,,,,,,,5710.0,,"<h1 id=""points"">Points</h1>

<p>You can earn a bonus on some rounds. You will begin these rounds with some number of points.
It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>Some rounds will have no bonus, so the screen will say <b>No Bonus</b>.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",12825,,html-button-response,28
0,,,,,,,4649.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 88 points in this HIT. Your bonus for this HIT is <b>$0.88</b>!</p>",617324,,html-button-response,28
0,,,,,,,9574.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",9580,,html-button-response,2
0,,,,,,,6407.0,,"<h1 id=""points"">Points</h1>

<p>You can earn a bonus on some rounds. You will begin these rounds with some number of points.
It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>Some rounds will have no bonus, so the screen will say <b>No Bonus</b>.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",15990,,html-button-response,2
0,,,,,,,1472.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 82 points in this HIT. Your bonus for this HIT is <b>$0.82</b>!</p>",801032,,html-button-response,2
0,,,,,,,35855.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",35856,,html-button-response,17
0,,,,,,,18422.0,,"<h1 id=""points"">Points</h1>

<p>You can earn a bonus on some rounds. You will begin these rounds with some number of points.
It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>Some rounds will have no bonus, so the screen will say <b>No Bonus</b>.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",54280,,html-button-response,17
0,,,,,,,4046.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 90 points in this HIT. Your bonus for this HIT is <b>$0.90</b>!</p>",1719552,,html-button-response,17
0,,,,,,,16821.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",16822,,html-button-response,16
0,,,,,,,11796.0,,"<h1 id=""points"">Points</h1>

<p>You can earn a bonus on some rounds. You will begin these rounds with some number of points.
It costs 1 point to move a block.
If you lose all your points, they won't go below 0, but you still have to finish the round.</p>

<p>Some rounds will have no bonus, so the screen will say <b>No Bonus</b>.</p>

<p>At the end of the HIT, we will convert the final points from each round into a bonus payment.
You will earn $0.01 for each point.</p>

<p>Here's an example:</p>

<p><img width=""355"" src=""static/images/points.gif"" /></p>",28620,,html-button-response,16
0,,,,,,,1745.0,,"<h1 id=""totalpoints"">Total Points</h1>

<p>You got 85 points in this HIT. Your bonus for this HIT is <b>$0.85</b>!</p>",1027366,,html-button-response,16
0,,,,,,,34320.0,,"<h1 id=""instructions"">Instructions</h1>

<p>Thanks for accepting our HIT! In this HIT, you will solve block
puzzles. There are 35 puzzles for you to solve.</p>

<p>On each round, you will see two sets of blocks. There are three places where you
can build a column of blocks. Your task is to stack the blocks in the left box
to match the blocks in the right box. The blocks
in the right box will always be in alphabetical order in the middle column.
You can only move the top block in each column.</p>

<p>Here's an example with 3 blocks:</p>

<p><img width=""355"" src=""static/images/blockworld.gif"" /></p>",34322,,html-button-response,15
