bonus,completed,pid,version
0.78,True,0,1.4
0.77,True,1,1.4
0.82,True,2,1.4
0.68,True,3,1.4
0.51,True,4,1.4
0.72,True,5,1.4
0.91,True,6,1.4
0.78,True,7,1.4
0.75,True,8,1.4
0.81,True,9,1.4
0.86,True,10,1.4
0.74,True,11,1.4
0.68,True,12,1.4
0.82,True,13,1.4
0.52,True,14,1.4
0.83,True,15,1.4
0.85,True,16,1.4
0.9,True,17,1.4
0.0,False,18,1.4
1.03,True,19,1.4
0.63,True,20,1.4
0.73,True,21,1.4
0.98,True,22,1.4
0.6,True,23,1.4
0.8,True,24,1.4
0.79,True,25,1.4
0.79,True,26,1.4
0.89,True,27,1.4
0.88,True,28,1.4
0.0,False,29,1.4
0.88,True,30,1.4
0.78,True,31,1.4
0.83,True,32,1.4
