button_pressed,high_stakes,initial_points,multiplier,no_bonus,points,responses,rt,states,stimulus,time_elapsed,times,trial_type,pid
,,,,,,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""no""}",8528.0,,,1166711,,survey-text,17
,,,,,,"{""Q0"":""No"",""Q1"":""Nothing needs improvement"",""Q2"":""Task is fine as is.""}",20254.0,,,1054807,,survey-text,21
,,,,,,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""A little higher base pay - was hard if you're not good at this game""}",19908.0,,,740321,,survey-text,7
,,,,,,"{""Q0"":""No, everything was clear to me."",""Q1"":""Not that I can think of. I think this was a fun and easy to use interface."",""Q2"":""N/A""}",40709.0,,,1267741,,survey-text,41
,,,,,,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",1155.0,,,956456,,survey-text,22
,,,,,,"{""Q0"":""No"",""Q1"":""No"",""Q2"":""No""}",5415.0,,,749889,,survey-text,43
,,,,,,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",1062.0,,,1484912,,survey-text,31
,,,,,,"{""Q0"":"""",""Q1"":"""",""Q2"":""""}",1932.0,,,2475864,,survey-text,28
,,,,,,"{""Q0"":""no"",""Q1"":""nothing"",""Q2"":""great""}",14511.0,,,1443966,,survey-text,33
,,,,,,"{""Q0"":""No"",""Q1"":""No"",""Q2"":""No""}",8310.0,,,625643,,survey-text,42
,,,,,,"{""Q0"":""No issues"",""Q1"":""They were fine."",""Q2"":""""}",8260.0,,,809297,,survey-text,4
,,,,,,"{""Q0"":""no"",""Q1"":""make it a little shorter or don't make them all 5 block high."",""Q2"":""""}",40918.0,,,1760471,,survey-text,25
,,,,,,"{""Q0"":""no"",""Q1"":"""",""Q2"":""""}",4707.0,,,1032074,,survey-text,24
,,,,,,"{""Q0"":""Everything was easy to understand"",""Q1"":""I can't think of anything."",""Q2"":""Thanks for the opportunity! I hope to see more work from you in the future that I'm qualified for!""}",125030.0,,,2007430,,survey-text,30
,,,,,,"{""Q0"":""No."",""Q1"":""None."",""Q2"":""None.""}",9991.0,,,746717,,survey-text,45
,,,,,,"{""Q0"":""easy"",""Q1"":"""",""Q2"":""""}",6292.0,,,979662,,survey-text,23
,,,,,,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""no""}",5430.0,,,1165103,,survey-text,16
,,,,,,"{""Q0"":""Very easy to understand."",""Q1"":""None"",""Q2"":""Thanks""}",12039.0,,,724882,,survey-text,34
,,,,,,"{""Q0"":""Nothing was confusing."",""Q1"":""No suggestions"",""Q2"":""No comments""}",16968.0,,,1002700,,survey-text,19
,,,,,,"{""Q0"":""Nope, pretty straightforward."",""Q1"":""Not unless I can be a co-author on the paper. \n:)"",""Q2"":""""}",54831.0,,,1436212,,survey-text,36
,,,,,,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""no""}",7532.0,,,1060497,,survey-text,20
,,,,,,"{""Q0"":""Easy to understand, challenging game."",""Q1"":""None, no issues."",""Q2"":""No.""}",41570.0,,,1055182,,survey-text,38
,,,,,,"{""Q0"":""none"",""Q1"":""increase the speed"",""Q2"":""none""}",14731.0,,,790296,,survey-text,15
,,,,,,"{""Q0"":""No"",""Q1"":""No"",""Q2"":""No""}",21805.0,,,1676144,,survey-text,9
,,,,,,"{""Q0"":""no"",""Q1"":""no"",""Q2"":""no""}",6030.0,,,1095782,,survey-text,2
,,,,,,"{""Q0"":""No"",""Q1"":"""",""Q2"":""Increase base pay please""}",24742.0,,,1123732,,survey-text,18
,,,,,,"{""Q0"":""No"",""Q1"":""It would be nice if there was a \""par\"" or average so you know if you did better or worse than most for each puzzle."",""Q2"":""""}",28375.0,,,804889,,survey-text,0
,,,,,,"{""Q0"":""no"",""Q1"":""Give a realistic estimated time "",""Q2"":""""}",58494.0,,,1567393,,survey-text,48
,,,,,,"{""Q0"":""No"",""Q1"":""No"",""Q2"":""No""}",19724.0,,,1179495,,survey-text,10
,,,,,,"{""Q0"":""Nothing was confusing or hard to understand."",""Q1"":""N/A"",""Q2"":""Fun study, made me think a bit.""}",24622.0,,,1053646,,survey-text,40
,,,,,,"{""Q0"":""No"",""Q1"":""No it was all good"",""Q2"":""""}",8215.0,,,546618,,survey-text,1
,,,,,,"{""Q0"":""No, there wasn't."",""Q1"":"""",""Q2"":""""}",31294.0,,,943551,,survey-text,32
,,,,,,"{""Q0"":""I thought it was frustrating the way they were set up"",""Q1"":"""",""Q2"":""""}",20497.0,,,1553806,,survey-text,14
,,,,,,"{""Q0"":""no"",""Q1"":"""",""Q2"":""""}",6532.0,,,1055220,,survey-text,3
,,,,,,"{""Q0"":""No"",""Q1"":""No"",""Q2"":""No""}",7646.0,,,798688,,survey-text,11
